permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2023-03701,15 GORDON DR SW,Residential - Secondary Suite,"NEW: BACKYARD SUITE (ABOVE GARAGE), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Advertising,2023-06-05T00:00:00.000,2023-08-02T00:00:00.000,GLAMORGAN,6.0,SW,51.012,-114.145,ESTABLISHED,WEST
DP2023-03740,108 CARRINGSBY MR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-06T00:00:00.000,2023-08-11T00:00:00.000,CARRINGTON,3.0,NW,51.179,-114.091,DEVELOPING,NORTH
DP2023-03810,608 WILLOW BROOK DR SE,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2023-06-08T00:00:00.000,2023-08-14T00:00:00.000,WILLOW PARK,11.0,SE,50.959,-114.053,ESTABLISHED,SOUTH
DP2023-03793,2712 PALLISER DR SW,Residential - Additions over 10 sq metres,ADDITION: SINGLE DETACHED DWELLING (2ND FLOOR),In Advertising,2023-06-08T00:00:00.000,2023-08-03T00:00:00.000,OAKRIDGE,11.0,SW,50.97,-114.124,ESTABLISHED,SOUTH
DP2023-03816,1913 ASH CR SE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Hold,2023-06-09T00:00:00.000,,SOUTHVIEW,9.0,SE,51.037,-113.992,ESTABLISHED,EAST
DP2023-03858,24 BERKLEY RI NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-11T00:00:00.000,2023-08-14T00:00:00.000,BEDDINGTON HEIGHTS,4.0,NW,51.126,-114.076,ESTABLISHED,NORTH
DP2023-03976,80 RED EMBERS TC NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-15T00:00:00.000,2023-08-14T00:00:00.000,REDSTONE,5.0,NE,51.169,-113.948,DEVELOPING,NORTHEAST
DP2023-03974,72 RED EMBERS TC NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-15T00:00:00.000,2023-08-14T00:00:00.000,REDSTONE,5.0,NE,51.169,-113.949,DEVELOPING,NORTHEAST
DP2023-04037,159 CITYSIDE CO NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL SIZE,In Advertising,2023-06-16T00:00:00.000,2023-08-14T00:00:00.000,CITYSCAPE,5.0,NE,51.145,-113.969,DEVELOPING,NORTHEAST
DP2023-04030,100 DEERBOW CI SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-16T00:00:00.000,2023-08-10T00:00:00.000,DEER RUN,14.0,SE,50.919,-114.016,ESTABLISHED,SOUTH
DP2023-04066,106 MARTINDALE BV NE,Residential - Secondary Suite,"NEW: SECONDARY SUITE (BASEMENT) - PARCEL WIDTH, PARKING STALL",In Advertising,2023-06-19T00:00:00.000,2023-08-03T00:00:00.000,MARTINDALE,5.0,NE,51.114,-113.954,ESTABLISHED,NORTHEAST
DP2023-04059,37 MALIBOU RD SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-19T00:00:00.000,2023-08-14T00:00:00.000,MEADOWLARK PARK,11.0,SW,50.999,-114.078,ESTABLISHED,CENTRE
DP2023-04131,639 NEW BRIGHTON DR SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT); RELAXATION: SECONDARY SUITE (COVERED ENTRY) - PROJECTION INTO SIDE SETBACK,In Advertising,2023-06-20T00:00:00.000,2023-08-02T00:00:00.000,NEW BRIGHTON,12.0,SE,50.921,-113.944,ESTABLISHED,SOUTHEAST
DP2023-04180,103 RIVERSIDE CL SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-21T00:00:00.000,2023-08-14T00:00:00.000,RIVERBEND,11.0,SE,50.977,-114.029,ESTABLISHED,SOUTHEAST
DP2023-04175,122 CORAL SHORES CA NE,Residential - Additions over 10 sq metres,ADDITION: SINGLE DETACHED DWELLING (MAIN FLOOR & BASEMENT - REAR FACADE),In Advertising,2023-06-21T00:00:00.000,2023-08-02T00:00:00.000,CORAL SPRINGS,10.0,NE,51.103,-113.928,ESTABLISHED,NORTHEAST
DP2023-04148,187 SILVERADO DR SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-21T00:00:00.000,2023-08-14T00:00:00.000,SILVERADO,13.0,SW,50.883,-114.078,DEVELOPING,SOUTH
DP2023-04214,552 SILVERGROVE DR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-22T00:00:00.000,2023-08-08T00:00:00.000,SILVER SPRINGS,1.0,NW,51.112,-114.192,ESTABLISHED,NORTHWEST
DP2023-04232,780 WILLAMETTE DR SE,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (MAIN FLOOR - GARAGE, 2ND FLOOR)",In Advertising,2023-06-23T00:00:00.000,2023-08-10T00:00:00.000,WILLOW PARK,11.0,SE,50.952,-114.044,ESTABLISHED,SOUTH
DP2023-04220,13119B COVENTRY HILLS WY NE,Residential - Additions 10 sq metres and under,ADDITION: SINGLE DETACHED DWELLING (EXISTING COVERED SIDE ENTRY) - BUILDING SETBACK FROM SIDE PROPERTY LINE,In Advertising,2023-06-23T00:00:00.000,2023-08-14T00:00:00.000,COVENTRY HILLS,3.0,NE,51.17,-114.053,ESTABLISHED,NORTH
DP2023-04217,3727 UTAH DR NW,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (FRONT PORCH, 2ND STOREY ABOVE GARAGE)",In Advertising,2023-06-23T00:00:00.000,2023-08-10T00:00:00.000,UNIVERSITY HEIGHTS,7.0,NW,51.071,-114.141,ESTABLISHED,NORTHWEST
DP2023-04251,592 PANORA WY NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-25T00:00:00.000,2023-08-10T00:00:00.000,PANORAMA HILLS,3.0,NW,51.169,-114.098,ESTABLISHED,NORTH
DP2023-04268,1608 49 AV SW,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",In Advertising,2023-06-26T00:00:00.000,2023-08-14T00:00:00.000,ALTADORE,8.0,SW,51.01,-114.099,ESTABLISHED,CENTRE
DP2023-04259,75 AUBURN GLEN HT SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT); RELAXATION: SINGLE DETACHED DWELLING (COVERED ENTRY) - BUILDING SETBACK FROM SIDE PROPERTY LINE,In Advertising,2023-06-26T00:00:00.000,2023-08-07T00:00:00.000,AUBURN BAY,12.0,SE,50.895,-113.955,COMPLETE,SOUTHEAST
DP2023-04298,97 LEGACY GLEN CM SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-27T00:00:00.000,2023-08-21T00:00:00.000,LEGACY,14.0,SE,50.858,-114.004,DEVELOPING,SOUTH
DP2023-04290,425 9 ST NE,Residential - Secondary Suite,"NEW: BACKYARD SUITE (ABOVE GARAGE), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Advertising,2023-06-27T00:00:00.000,2023-08-21T00:00:00.000,BRIDGELAND/RIVERSIDE,9.0,NE,51.056,-114.041,ESTABLISHED,CENTRE
DP2023-04348,453 MARTINDALE BV NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) PARKING RELAXATION,In Advertising,2023-06-28T00:00:00.000,2023-08-04T00:00:00.000,MARTINDALE,5.0,NE,51.115,-113.968,ESTABLISHED,NORTHEAST
DP2023-04314,2212 33 ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Advertising,2023-06-28T00:00:00.000,2023-08-04T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.034,-114.135,ESTABLISHED,CENTRE
DP2023-04377,1055 KERFOOT CR SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2023-06-29T00:00:00.000,2023-08-03T00:00:00.000,KELVIN GROVE,11.0,SW,50.988,-114.087,ESTABLISHED,SOUTH
DP2023-04394,366 MAHOGANY BV SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-30T00:00:00.000,2023-08-14T00:00:00.000,MAHOGANY,12.0,SE,50.903,-113.92,DEVELOPING,SOUTHEAST
DP2023-04389,1934 8 AV SE,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (MAIN FLOOR, COVERED DECK - REAR)",In Advertising,2023-06-30T00:00:00.000,2023-08-10T00:00:00.000,INGLEWOOD,9.0,SE,51.036,-114.017,ESTABLISHED,CENTRE
DP2023-04387,47 COVEPARK WY NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-06-30T00:00:00.000,2023-08-02T00:00:00.000,COVENTRY HILLS,3.0,NE,51.165,-114.054,ESTABLISHED,NORTH
DP2023-04401,266 CARRINGHAM RD NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT) - PARKING STALL DEPTH,In Advertising,2023-07-02T00:00:00.000,2023-08-14T00:00:00.000,CARRINGTON,3.0,NW,51.186,-114.093,DEVELOPING,NORTH
DP2023-04426,21 SKYVIEW POINT CM NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-07-03T00:00:00.000,2023-08-08T00:00:00.000,SKYVIEW RANCH,5.0,NE,51.159,-113.952,DEVELOPING,NORTHEAST
DP2023-04425,96 CHAPARRAL WY SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2023-07-03T00:00:00.000,2023-08-02T00:00:00.000,CHAPARRAL,14.0,SE,50.888,-114.028,ESTABLISHED,SOUTH
