timestamp,pool_price_cad_per_mwh,ail_mw,wind_mw
2024-10-18 09:00:00,34.58,10252,1097.8725233000002
2024-10-18 10:00:00,24.59,10223,1094.6176053000002
2024-10-18 11:00:00,24.27,10221,1316.7771810000002
2024-10-18 12:00:00,20.05,10172,1647.7018283000002
2024-10-18 13:00:00,8.15,10228,2080.3598355
2024-10-18 14:00:00,2.98,10246,2456.6978624000003
2024-10-18 15:00:00,0.0,10279,2824.5660754000014
2024-10-18 16:00:00,17.36,10296,3072.4819216000005
2024-10-18 17:00:00,24.73,10219,3133.8665312999997
2024-10-18 18:00:00,0.6,10283,3452.6487324
2024-10-18 19:00:00,0.0,10331,3730.6729028
2024-10-18 20:00:00,0.0,10270,3706.1970586999996
2024-10-18 21:00:00,10.55,10181,3651.2801658
2024-10-18 22:00:00,0.0,9959,3581.5831829
2024-10-18 23:00:00,0.0,9752,3630.1951236000004
2024-10-19 00:00:00,0.0,9550,3527.6158938999993
2024-10-19 01:00:00,0.0,9417,3536.5825794000007
2024-10-19 02:00:00,0.0,9328,3508.819856700001
2024-10-19 03:00:00,0.0,9274,3379.7341785
2024-10-19 04:00:00,0.0,9254,3376.746180600001
2024-10-19 05:00:00,0.0,9334,3426.5768335000007
2024-10-19 06:00:00,0.0,9494,3407.4072570000003
2024-10-19 07:00:00,3.53,9777,3363.5899027999985
2024-10-19 08:00:00,11.23,9931,3354.2372335000005
2024-10-19 09:00:00,12.72,10121,3199.9368237
2024-10-19 10:00:00,14.34,10163,3192.5271219
2024-10-19 11:00:00,4.38,10152,3015.0484707000005
2024-10-19 12:00:00,15.57,10204,2958.7870227999997
2024-10-19 13:00:00,9.53,10207,3025.266284000001
2024-10-19 14:00:00,3.56,10179,3121.2216476000003
2024-10-19 15:00:00,2.3,10198,3303.307220800001
2024-10-19 16:00:00,12.63,10233,3301.3811381999994
2024-10-19 17:00:00,2.93,10230,3595.4658665000006
2024-10-19 18:00:00,1.04,10225,3517.4612353
2024-10-19 19:00:00,7.64,10265,3502.6949532000003
2024-10-19 20:00:00,0.86,10182,3511.4536057
2024-10-19 21:00:00,0.0,10040,3447.0264144000002
