YEAR,FIRE_NUMBER,FIRE_NAME,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,FIRE_START_DATE,DISPATCHED_RESOURCE,ASSESSMENT_HECTARES,FIRE_SPREAD_RATE,FIRE_TYPE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_SPEED,FUEL_TYPE,INITIAL_ACTION_BY
2023,WWF053, ,0.01,A,54.10323,-115.68544,Incendiary,2023-07-28 13:00,FPD Staff,0.01,0.0,Surface,17.0,59.0,0.0,M2,Fire Department
2023,CWF044,,0.01,A,49.948632,-114.442637,Recreation,2023-07-30 12:00,FPD Staff,0.01,,Surface,,,,,FPD Staff
2023,RWF030,,0.01,A,52.864667,-115.818833,Lightning,2023-05-04 12:59,HAC,0.01,0.0,Ground,20.0,22.0,4.0,C2,HAC
2023,MWF020,,0.01,A,56.4417,-111.177083,Incendiary,2023-05-24 17:00,HAC,0.01,0.0,Ground,15.0,59.0,3.0,,Fire Department
2023,PWF085,,0.01,A,56.469717,-116.3933,Resident,2023-07-01 13:19,HAC,0.01,0.0,Surface,28.0,39.0,0.0,O1b,Fire Department
2023,CWF081,,0.01,A,50.901367,-114.68885,Recreation,2023-10-01 15:00,FPD Staff,0.01,,,,,,,FPD Staff
2023,GWF037,,0.01,A,55.670333,-119.4135,Lightning,2023-06-03 18:58,Air Tanker,0.01,0.1,Ground,15.0,32.0,8.0,C2,Air Tanker
2023,LWF075,,0.01,A,55.9283,-110.720333,Incendiary,2023-04-30 15:15,HAC,0.01,0.0,Surface,22.0,18.0,15.0,D1,HAC
2023,RWF070,,0.01,A,52.067833,-114.9963,Resident,2023-07-27 17:34,FPD Staff,0.01,0.0,Surface,13.9,73.0,2.0,O1a,Land Owner
2023,WWF044,,0.01,A,54.094487,-115.610542,Resident,2023-06-17 19:00,FPD Staff,0.01,0.0,Ground,14.0,63.0,9.0,,Land Owner
2023,LWF066,,0.01,A,55.929367,-110.72325,Resident,2023-04-28 15:30,HAC,0.01,0.0,Surface,19.0,21.0,15.0,C2,HAC
2023,MWF066,,0.01,A,56.370667,-111.4537,Recreation,2023-11-12 14:00,FPD Staff,0.01,0.0,Ground,-2.0,45.0,5.0,C2,FPD Staff
2023,EWF004,,0.01,A,53.5858,-116.369583,Incendiary,2022-03-10 5:00,FPD Staff,0.01,0.0,Surface,-18.0,82.0,8.0,S1,Fire Department
2023,LWF119,,0.01,A,55.16,-112.524833,Resident,2023-04-18 12:00,FPD Staff,0.01,1.0,Ground,19.0,40.0,20.0,,Land Owner
2023,GWF043,,0.01,A,55.9019,-119.2032,Incendiary,2023-05-16 10:00,FPD Staff,0.01,0.0,Surface,25.0,37.0,2.0,O1a,Fire Department
2023,PWF032,,0.01,A,56.32375,-117.654283,Agriculture Industry,2023-01-01 12:00,HAC,0.01,0.0,Surface,28.0,15.0,15.0,S2,Land Owner
2023,LWF099,,0.01,A,54.585967,-113.791683,Resident,2023-05-07 15:00,HAC,0.01,0.0,Surface,,,,S1,Public
2023,PWF099,,0.01,A,56.700667,-118.746167,Lightning,2023-07-12 3:00,HAC,0.01,0.0,Surface,23.0,36.0,5.0,M2,HAC
2023,LWF058,,0.01,A,55.932117,-110.722583,Incendiary,2023-04-27 13:39,HAC,0.01,1.0,Surface,10.0,45.0,9.0,O1a,HAC
2023,LWF071,,0.01,A,55.925633,-110.722217,Incendiary,2023-04-29 15:15,HAC,0.01,0.0,Surface,17.0,20.0,10.0,O1a,HAC
2023,CWF039,,0.01,A,51.632,-115.098783,Recreation,2023-07-22 12:00,FPD Staff,0.01,,,,,,,FPD Staff
2023,LWF073,,0.01,A,54.5151,-110.81275,Power Line Industry,2023-04-30 6:30,FPD Staff,0.01,0.0,Surface,15.0,20.0,15.0,O1a,FPD Staff
2023,HWF017,,0.01,A,58.507383,-116.117,Resident,2023-04-24 9:00,FPD Staff,0.01,0.0,Surface,6.0,50.0,0.0,,Land Owner
2023,LWF156,,0.01,A,54.698082,-111.834473,Resident,2023-06-21 14:10,FPD Staff,0.01,0.0,Surface,17.0,43.0,12.0,,Fire Department
2023,MWF029,,0.01,A,56.428333,-111.33045,Power Line Industry,2023-06-01 19:00,HAC,0.01,0.0,Surface,15.0,65.0,5.0,O1a,Fire Department
2023,HWF062,,0.01,A,59.095967,-119.4153,Lightning,2023-06-07 14:15,FPD Staff,0.01,1.0,Surface,11.0,45.0,2.0,C2,HAC
2023,CWF048,,0.01,A,51.573483,-114.987167,Recreation,2023-08-02 12:00,FPD Staff,0.01,0.0,Ground,27.0,24.0,15.0,,FPD Staff
2023,CWF014,,0.01,A,51.1689,-114.856867,Incendiary,2023-05-14 20:00,FPD Staff,0.01,0.0,Ground,17.0,30.0,10.0,O1b,FPD Staff
2023,HWF086,,0.01,A,57.780167,-114.693,Lightning,2023-06-30 14:00,Air Tanker,0.01,1.0,Surface,25.0,25.0,0.0,M2,Air Tanker
2023,SWF078,,0.01,A,55.621383,-116.670833,Government,2023-01-05 10:00,HAC,0.01,0.0,Ground,15.0,45.0,2.0,S1,HAC
2023,CWF057,,0.01,A,51.278933,-115.071517,Recreation,2023-08-06 12:00,FPD Staff,0.01,,Surface,,,,,FPD Staff
2023,CWF051,,0.01,A,51.615048,-115.147735,Recreation,2023-08-06 12:00,FPD Staff,0.01,,,,,,,FPD Staff
2023,MWF046,,0.01,A,59.907517,-111.588283,Lightning,2023-06-30 20:39,HAC,0.1,1.0,Surface,16.5,93.0,0.0,M2,HAC
2023,LWF088,,0.01,A,55.9351,-110.718733,Incendiary,2023-05-04 11:00,FTAC,0.01,1.0,Ground,27.0,21.0,10.0,,FTAC
2023,RWF047,,0.01,A,52.943481,-114.9441,Incendiary,2023-05-20 11:40,FPD Staff,0.01,0.0,Surface,26.0,45.0,5.0,O1b,Fire Department
2023,LWF145,,0.01,A,54.926067,-112.546775,Agriculture Industry,2023-06-04 13:00,FPD Staff,0.01,0.0,Surface,24.0,54.0,4.0,,Land Owner
